epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.341,1.30722,1.40609,1.45015,0.68178,0.67215,0.73456,0.42421,1.51508,1.02218,1.23125,0.00332925,0.00332925,0.00332925
2,391.636,1.2702,1.09135,1.36557,0.74714,0.66173,0.69328,0.40496,1.44604,1.0505,1.24111,0.0066406,0.0066406,0.0066406
3,581.013,1.45345,1.41009,1.4931,0.45208,0.56692,0.48023,0.27106,1.65856,1.74759,1.41291,0.00992994,0.00992994,0.00992994
4,776.039,1.48967,1.49173,1.53546,0.74413,0.65283,0.70489,0.42349,1.4807,1.08996,1.30624,0.009901,0.009901,0.009901
5,963.827,1.37,1.25924,1.45041,0.79799,0.67751,0.74643,0.47009,1.40596,0.99334,1.25031,0.009868,0.009868,0.009868
6,1152.51,1.29625,1.13109,1.39572,0.8218,0.72584,0.78305,0.51502,1.36765,0.90486,1.2178,0.009835,0.009835,0.009835
7,1340.71,1.25751,1.05934,1.3644,0.80502,0.72457,0.77948,0.52463,1.34533,0.91927,1.20849,0.009802,0.009802,0.009802
8,1537.01,1.2182,1.00419,1.3445,0.85758,0.75849,0.81524,0.55436,1.29977,0.77831,1.17825,0.009769,0.009769,0.009769
9,1724.3,1.18991,0.96029,1.32312,0.84795,0.78493,0.82658,0.57744,1.26028,0.74285,1.15373,0.009736,0.009736,0.009736
10,1909.47,1.15851,0.91903,1.3041,0.83835,0.76757,0.80267,0.55869,1.274,0.79553,1.15933,0.009703,0.009703,0.009703
11,2093.77,1.136,0.88694,1.28348,0.85147,0.78029,0.82547,0.57046,1.25963,0.73311,1.15138,0.00967,0.00967,0.00967
12,2278.37,1.11951,0.86117,1.27183,0.89183,0.77532,0.83969,0.58095,1.27027,0.71259,1.14393,0.009637,0.009637,0.009637
13,2463.28,1.11046,0.84345,1.2623,0.86319,0.79189,0.83891,0.59247,1.22392,0.67277,1.13061,0.009604,0.009604,0.009604
14,2649.07,1.08995,0.81105,1.25814,0.86579,0.80231,0.84248,0.59265,1.23035,0.67252,1.13015,0.009571,0.009571,0.009571
15,2833.73,1.067,0.79975,1.24296,0.88222,0.80344,0.84358,0.59992,1.22033,0.64551,1.12724,0.009538,0.009538,0.009538
16,3019.14,1.0584,0.77657,1.23455,0.87047,0.80441,0.85203,0.6083,1.21064,0.63071,1.1191,0.009505,0.009505,0.009505
17,3203.9,1.04374,0.76928,1.23083,0.87172,0.81312,0.84831,0.61299,1.19656,0.63072,1.11005,0.009472,0.009472,0.009472
18,3388.59,1.038,0.75711,1.22018,0.87989,0.80186,0.85265,0.61449,1.19379,0.624,1.10627,0.009439,0.009439,0.009439
19,3573.42,1.02752,0.74066,1.21271,0.87491,0.81745,0.85387,0.61963,1.18374,0.61671,1.10394,0.009406,0.009406,0.009406
20,3758.25,1.02015,0.72981,1.21091,0.87326,0.8176,0.85576,0.62112,1.18406,0.5991,1.10033,0.009373,0.009373,0.009373
21,3943.13,1.009,0.71782,1.20187,0.87881,0.80645,0.85638,0.62184,1.18074,0.60803,1.10156,0.00934,0.00934,0.00934
22,4133.68,1.00149,0.70605,1.20107,0.86667,0.81425,0.85104,0.61791,1.18038,0.60006,1.10269,0.009307,0.009307,0.009307
23,286.186,0.98927,0.68634,1.19366,0.87246,0.81319,0.85321,0.62084,1.17572,0.60306,1.09799,0.009274,0.009274,0.009274
24,475.306,0.98934,0.69621,1.18844,0.86457,0.82316,0.86001,0.62806,1.17459,0.58969,1.09969,0.009241,0.009241,0.009241
25,670.845,0.98351,0.69027,1.18232,0.87444,0.82392,0.85635,0.62933,1.16988,0.5927,1.09558,0.009208,0.009208,0.009208
26,861.233,0.97421,0.67452,1.18073,0.87118,0.82317,0.85797,0.63278,1.16804,0.58527,1.09477,0.009175,0.009175,0.009175
27,1051.1,0.96647,0.67398,1.17298,0.87735,0.82095,0.8552,0.63411,1.16312,0.58586,1.08905,0.009142,0.009142,0.009142
28,1240.05,0.96101,0.66516,1.16974,0.87972,0.81847,0.85594,0.63251,1.16288,0.58622,1.09173,0.009109,0.009109,0.009109
29,1426.86,0.95871,0.65684,1.16815,0.86902,0.82446,0.85845,0.63362,1.15899,0.58239,1.0909,0.009076,0.009076,0.009076
30,1613.51,0.95781,0.65774,1.16421,0.86281,0.82903,0.85761,0.6349,1.15784,0.58229,1.08802,0.009043,0.009043,0.009043
31,1800.4,0.94883,0.65022,1.15887,0.86219,0.82837,0.85728,0.63571,1.15403,0.57573,1.08653,0.00901,0.00901,0.00901
32,1987.22,0.93914,0.64517,1.15704,0.86093,0.8317,0.85741,0.63595,1.15283,0.57326,1.08527,0.008977,0.008977,0.008977
33,2174.09,0.94015,0.63576,1.15499,0.86879,0.82545,0.85654,0.63584,1.1535,0.57396,1.08406,0.008944,0.008944,0.008944
34,2363.59,0.93503,0.6312,1.14882,0.87156,0.83094,0.85742,0.6363,1.15147,0.57162,1.08282,0.008911,0.008911,0.008911
35,2553.25,0.92791,0.62807,1.14657,0.87197,0.83027,0.85708,0.63615,1.15061,0.57244,1.08312,0.008878,0.008878,0.008878
36,2745.15,0.91688,0.61162,1.14153,0.87254,0.82997,0.85724,0.6369,1.14876,0.57121,1.08248,0.008845,0.008845,0.008845
37,2934.94,0.91748,0.61455,1.1412,0.86898,0.8326,0.85828,0.63799,1.1478,0.57056,1.08156,0.008812,0.008812,0.008812
38,3124.37,0.91445,0.61152,1.14096,0.87129,0.83161,0.85972,0.63894,1.14777,0.56827,1.0823,0.008779,0.008779,0.008779
39,3311.17,0.91292,0.61113,1.13736,0.86414,0.83541,0.85991,0.63883,1.14714,0.56704,1.08227,0.008746,0.008746,0.008746
40,3497.65,0.90909,0.60512,1.12936,0.86683,0.835,0.8611,0.64074,1.14567,0.56524,1.08131,0.008713,0.008713,0.008713
41,3684.38,0.90029,0.59831,1.12363,0.86344,0.83666,0.86108,0.64236,1.14526,0.56423,1.081,0.00868,0.00868,0.00868
42,3871.51,0.89889,0.5963,1.1296,0.87298,0.83092,0.86098,0.64249,1.14536,0.5634,1.08136,0.008647,0.008647,0.008647
43,4058.45,0.8903,0.59196,1.12259,0.87486,0.82962,0.86053,0.64231,1.14537,0.56332,1.08115,0.008614,0.008614,0.008614
44,4244.96,0.88986,0.58797,1.12576,0.87388,0.83039,0.86065,0.64207,1.14547,0.56263,1.08161,0.008581,0.008581,0.008581
45,4431.51,0.88942,0.58469,1.12329,0.87087,0.83154,0.86084,0.64162,1.14534,0.56201,1.08166,0.008548,0.008548,0.008548
46,4617.89,0.8854,0.58623,1.11812,0.87108,0.83431,0.86069,0.64192,1.14485,0.56121,1.08142,0.008515,0.008515,0.008515
47,4804.54,0.87991,0.5774,1.12128,0.87139,0.83595,0.86072,0.64267,1.14443,0.56136,1.08177,0.008482,0.008482,0.008482
48,4991.25,0.87401,0.57613,1.11738,0.87049,0.83651,0.86041,0.64267,1.14418,0.56109,1.0818,0.008449,0.008449,0.008449
49,5178.04,0.87543,0.57571,1.11736,0.8695,0.83706,0.8606,0.64273,1.14403,0.56161,1.08182,0.008416,0.008416,0.008416
50,5364.97,0.87225,0.57311,1.1142,0.86642,0.83845,0.8609,0.6434,1.14395,0.56137,1.08209,0.008383,0.008383,0.008383
51,5551.78,0.87365,0.56855,1.11087,0.87041,0.83612,0.86115,0.64377,1.14374,0.56109,1.08213,0.00835,0.00835,0.00835
52,5738.83,0.86699,0.5623,1.1102,0.87156,0.83546,0.86065,0.6439,1.14341,0.56079,1.08193,0.008317,0.008317,0.008317
53,5925.62,0.85538,0.56317,1.10562,0.87172,0.83601,0.86088,0.64447,1.14333,0.5611,1.0819,0.008284,0.008284,0.008284
54,6112.72,0.86374,0.56041,1.10575,0.8715,0.8361,0.8609,0.6446,1.14249,0.56052,1.08112,0.008251,0.008251,0.008251
55,6300.98,0.85513,0.55429,1.10612,0.87102,0.83706,0.86065,0.64435,1.14225,0.55991,1.081,0.008218,0.008218,0.008218
56,6490.63,0.85983,0.5579,1.10775,0.87433,0.83575,0.86065,0.64448,1.14234,0.55901,1.08091,0.008185,0.008185,0.008185
57,6680.14,0.85376,0.55388,1.09986,0.87471,0.83571,0.861,0.64476,1.14228,0.55888,1.08112,0.008152,0.008152,0.008152
58,6870.47,0.84414,0.54792,1.10086,0.87171,0.8365,0.86077,0.64481,1.14228,0.55832,1.08142,0.008119,0.008119,0.008119
59,7061.37,0.84358,0.54341,1.0923,0.87172,0.83749,0.86093,0.64498,1.14197,0.55846,1.08099,0.008086,0.008086,0.008086
60,7249.91,0.84749,0.54492,1.09243,0.8711,0.83721,0.86037,0.64513,1.14178,0.55817,1.08058,0.008053,0.008053,0.008053
61,7437.53,0.84845,0.54446,1.09564,0.87126,0.83595,0.86021,0.64538,1.14143,0.55805,1.08022,0.00802,0.00802,0.00802
62,7625.25,0.83873,0.54194,1.09551,0.87254,0.83593,0.86013,0.64529,1.14186,0.55784,1.08048,0.007987,0.007987,0.007987
63,7812.57,0.83252,0.53516,1.08883,0.872,0.83439,0.86014,0.64583,1.14112,0.55725,1.07957,0.007954,0.007954,0.007954
64,8000.35,0.83768,0.53411,1.08698,0.87284,0.83447,0.86046,0.64614,1.14075,0.55674,1.07914,0.007921,0.007921,0.007921
65,8190.41,0.832,0.53376,1.08602,0.8736,0.83479,0.86024,0.6458,1.14071,0.55631,1.07905,0.007888,0.007888,0.007888
66,8380.48,0.82943,0.53057,1.08912,0.87246,0.83675,0.86004,0.64581,1.14052,0.55622,1.0792,0.007855,0.007855,0.007855
67,8573.06,0.83208,0.53405,1.08901,0.87173,0.83709,0.85978,0.64586,1.14048,0.5562,1.07926,0.007822,0.007822,0.007822
68,8763.2,0.8273,0.52974,1.08967,0.86592,0.84256,0.85977,0.64643,1.14025,0.55596,1.07913,0.007789,0.007789,0.007789
69,8953.17,0.82141,0.52818,1.0849,0.86697,0.84291,0.85983,0.64644,1.14047,0.55575,1.07945,0.007756,0.007756,0.007756
70,9140.95,0.81721,0.52466,1.08555,0.86456,0.8438,0.85989,0.64679,1.14021,0.55529,1.07967,0.007723,0.007723,0.007723
71,9328.42,0.81447,0.52027,1.08264,0.86403,0.84274,0.85999,0.64761,1.14014,0.55518,1.08001,0.00769,0.00769,0.00769
72,9515.87,0.8146,0.51952,1.07746,0.86367,0.84133,0.85972,0.64697,1.14019,0.55495,1.08012,0.007657,0.007657,0.007657
73,9703.32,0.81386,0.52049,1.07688,0.86604,0.83974,0.85989,0.64721,1.1399,0.55441,1.08011,0.007624,0.007624,0.007624
74,9892.97,0.80543,0.51611,1.07389,0.86174,0.84342,0.86002,0.64722,1.13968,0.55424,1.0803,0.007591,0.007591,0.007591
75,10082.9,0.81142,0.51654,1.07438,0.86576,0.83941,0.86013,0.64728,1.13942,0.55389,1.08007,0.007558,0.007558,0.007558
76,10272.3,0.80547,0.51425,1.08128,0.86786,0.83981,0.86002,0.64745,1.13954,0.55373,1.08026,0.007525,0.007525,0.007525
77,10461.7,0.80823,0.51522,1.07835,0.8695,0.8357,0.85999,0.64739,1.13954,0.55307,1.0805,0.007492,0.007492,0.007492
78,10651.2,0.80768,0.51416,1.07434,0.87021,0.8389,0.85996,0.64752,1.13959,0.55262,1.08058,0.007459,0.007459,0.007459
79,206.073,0.78798,0.48825,1.06702,0.86783,0.84072,0.85997,0.64743,1.13968,0.55282,1.08075,0.007426,0.007426,0.007426
80,412.238,0.80797,0.51065,1.07793,0.86881,0.8413,0.85994,0.64719,1.13975,0.55276,1.08091,0.007393,0.007393,0.007393
81,616.547,0.80961,0.51667,1.08084,0.86912,0.84098,0.85997,0.64752,1.13946,0.55244,1.08083,0.00736,0.00736,0.00736
82,822.256,0.80688,0.51015,1.07869,0.86786,0.8415,0.85952,0.64734,1.13925,0.55256,1.08082,0.007327,0.007327,0.007327
83,1034.19,0.80445,0.51342,1.08092,0.86707,0.84183,0.85923,0.64691,1.13922,0.55286,1.0808,0.007294,0.007294,0.007294
84,1243.1,0.80586,0.51334,1.07147,0.86744,0.84139,0.85898,0.64721,1.1393,0.55286,1.0808,0.007261,0.007261,0.007261
85,1455.42,0.80926,0.5135,1.07642,0.8678,0.84125,0.85881,0.64716,1.13948,0.55261,1.081,0.007228,0.007228,0.007228
86,1662.75,0.80929,0.51488,1.07374,0.86973,0.84027,0.85871,0.64727,1.13937,0.55249,1.08121,0.007195,0.007195,0.007195
87,1875.07,0.80407,0.51113,1.0755,0.86857,0.84117,0.85887,0.64751,1.13906,0.55242,1.08095,0.007162,0.007162,0.007162
88,2087.76,0.79916,0.50787,1.07267,0.86727,0.84063,0.85884,0.64769,1.13902,0.55247,1.08092,0.007129,0.007129,0.007129
89,2304.83,0.80061,0.50699,1.07334,0.86725,0.84113,0.85844,0.64754,1.13898,0.55261,1.08086,0.007096,0.007096,0.007096
