epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3502,1.57095,2.25253,1.64232,0.65441,0.50911,0.54982,0.30883,1.45956,1.51976,1.53587,0.00331224,0.00331224,0.00331224
2,79.5649,1.44452,1.44483,1.43678,0.6819,0.53891,0.58686,0.30729,1.54399,1.44219,1.52242,0.00662364,0.00662364,0.00662364
3,119.24,1.52102,1.56293,1.46627,0.3436,0.29946,0.2351,0.10077,2.01121,3.2801,1.99383,0.00991304,0.00991304,0.00991304
4,157.434,1.61262,1.79102,1.54632,0.50895,0.36022,0.34708,0.17411,1.86354,2.42159,1.90672,0.009901,0.009901,0.009901
5,194.998,1.58372,1.72222,1.52505,0.62944,0.50844,0.52986,0.28713,1.58207,1.77567,1.57367,0.009868,0.009868,0.009868
6,232.747,1.54943,1.62067,1.50443,0.66633,0.48781,0.53021,0.29263,1.55969,1.73957,1.55281,0.009835,0.009835,0.009835
7,269.659,1.53128,1.5621,1.48015,0.66785,0.53274,0.57235,0.31636,1.51023,1.43389,1.4884,0.009802,0.009802,0.009802
8,306.976,1.50099,1.49249,1.4615,0.70134,0.59801,0.64609,0.36756,1.45296,1.23891,1.44847,0.009769,0.009769,0.009769
9,344.777,1.48322,1.45273,1.44394,0.71611,0.56949,0.62516,0.35228,1.46241,1.27226,1.45126,0.009736,0.009736,0.009736
10,383.565,1.45808,1.39052,1.42759,0.70138,0.59043,0.64728,0.36927,1.43517,1.25234,1.44818,0.009703,0.009703,0.009703
11,420.539,1.43708,1.35317,1.41765,0.75759,0.61391,0.6813,0.39586,1.38389,1.16447,1.40286,0.00967,0.00967,0.00967
12,457.486,1.42107,1.31678,1.40269,0.77312,0.64124,0.71527,0.41919,1.37058,1.06045,1.37937,0.009637,0.009637,0.009637
13,494.973,1.41447,1.29158,1.39626,0.75387,0.63117,0.699,0.41181,1.37717,1.08467,1.38616,0.009604,0.009604,0.009604
14,532.459,1.39077,1.25381,1.38607,0.77618,0.63481,0.71166,0.42229,1.35707,1.0318,1.38257,0.009571,0.009571,0.009571
15,569.916,1.39725,1.25881,1.38195,0.72921,0.60499,0.66412,0.38975,1.38974,1.17182,1.39342,0.009538,0.009538,0.009538
16,607.097,1.37964,1.22707,1.37727,0.78973,0.66829,0.74502,0.45069,1.30656,0.95187,1.32597,0.009505,0.009505,0.009505
17,644.387,1.3734,1.19628,1.36072,0.7771,0.66589,0.73609,0.44156,1.3187,0.98346,1.33692,0.009472,0.009472,0.009472
18,681.718,1.35587,1.18058,1.35299,0.77783,0.66205,0.73845,0.44257,1.31948,0.9788,1.32755,0.009439,0.009439,0.009439
19,719.682,1.35101,1.17087,1.36156,0.79254,0.67333,0.75116,0.4457,1.32574,0.95202,1.31572,0.009406,0.009406,0.009406
20,756.93,1.34553,1.13832,1.35158,0.79891,0.6991,0.76905,0.47123,1.27691,0.88744,1.3004,0.009373,0.009373,0.009373
21,794.053,1.33668,1.12658,1.34651,0.8102,0.69387,0.77423,0.47616,1.27225,0.87101,1.29603,0.00934,0.00934,0.00934
